time,life-time,size,area,mass,radius
1485,4,4,4,811,3.0
1487,3,3,3,813,1.4142135623730951
1490,3,3,3,816,2.0
1493,4,4,4,817,1.4142135623730951
1498,36,200,122,812,13.601470508735444
1500,4,8,8,814,2.23606797749979
1502,5,10,10,816,2.23606797749979
1505,55,196,160,808,16.76305461424021
1507,18,43,33,810,5.656854249492381
1508,1,1,1,811,0.0
1510,6,16,10,813,2.8284271247461903
1515,9,27,27,814,5.0
1517,1,1,1,816,0.0
1519,44,178,178,810,18.681541692269406
1521,3,5,5,812,2.0
1522,6,11,11,813,3.0
1524,3,3,3,815,2.0
1525,7,7,7,814,4.242640687119285
1527,1,1,1,815,0.0
1528,18,71,45,814,10.44030650891055
1530,9,18,18,813,4.123105625617661
1531,4,5,5,812,1.4142135623730951
1537,4,4,4,816,1.4142135623730951
1542,18,53,53,821,10.770329614269007
1543,1,1,1,822,0.0
1544,5,14,10,823,2.8284271247461903
1546,14,53,33,822,5.656854249492381
1548,3,4,4,824,1.4142135623730951
1549,1,1,1,824,0.0
1551,24,178,62,818,10.04987562112089
1553,29,84,68,820,7.810249675906654
1557,8,11,11,824,5.0
1559,5,9,9,826,2.23606797749979
1563,8,20,20,827,5.385164807134504
1565,34,130,126,821,15.132745950421556
1566,14,20,20,821,5.0990195135927845
1574,20,55,55,828,8.54400374531753
1576,26,81,81,826,12.206555615733702
1577,6,9,9,823,3.1622776601683795
1578,1,1,1,824,0.0
1580,3,4,4,825,1.4142135623730951
1581,1,1,1,826,0.0
1586,11,24,16,831,4.123105625617661
1587,8,18,18,830,4.47213595499958
1592,15,36,20,834,4.242640687119285
1593,11,20,20,832,4.47213595499958
1594,24,102,96,826,13.038404810405298
1595,7,10,10,827,3.0
1599,20,91,51,830,8.06225774829855
1602,27,53,53,828,11.661903789690601
1612,15,26,26,832,5.656854249492381
1614,19,116,46,830,5.656854249492381
1617,19,70,36,829,6.708203932499369
1619,18,66,66,828,8.06225774829855
1620,18,45,45,822,9.848857801796104
1623,1,1,1,824,0.0
1625,2,2,2,825,1.0
1627,4,8,8,827,2.23606797749979
1633,2,2,2,833,1.0
1639,15,44,36,832,5.385164807134504
1642,4,4,4,835,2.23606797749979
1644,19,66,49,837,8.06225774829855
1645,3,6,6,838,2.0
1647,7,11,11,840,3.605551275463989
1648,12,26,26,834,7.0
1649,6,7,7,832,4.123105625617661
1652,27,147,147,828,14.422205101855956
1654,36,136,136,824,15.0
1655,4,4,4,825,3.0
1662,15,54,26,829,7.0710678118654755
1663,2,3,3,829,1.0
1664,10,19,17,830,4.123105625617661
1666,6,10,10,832,2.8284271247461903
1668,1,1,1,833,0.0
1669,17,61,61,834,8.246211251235321
1670,24,102,58,824,8.06225774829855
1674,36,152,146,821,19.1049731745428
1675,2,2,2,820,1.0
1677,16,40,40,819,9.433981132056603
1681,23,75,75,823,11.045361017187261
1688,30,86,41,826,7.0710678118654755
1692,1,1,1,829,0.0
1693,21,60,60,830,12.083045973594572
1694,3,4,4,831,1.4142135623730951
1695,1,1,1,832,0.0
1698,13,23,23,830,6.082762530298219
1699,33,176,134,823,13.038404810405298
1707,36,138,100,819,13.416407864998739
1714,74,260,222,808,17.029386365926403
1715,2,2,2,809,1.0
1718,2,2,2,810,1.0
1720,1,1,1,812,0.0
1726,8,12,12,818,4.242640687119285
1730,26,109,99,821,10.0
1731,54,140,140,817,19.1049731745428
1737,8,9,9,822,6.082762530298219
1738,18,65,59,823,8.06225774829855
1739,6,17,17,824,4.123105625617661
1740,15,40,40,820,7.0710678118654755
1741,3,3,3,821,1.4142135623730951
1744,25,59,59,824,8.246211251235321
1745,4,8,8,821,2.23606797749979
1749,19,64,64,820,9.486832980505138
1750,9,30,22,821,3.605551275463989
1751,2,2,2,822,1.0
1754,17,46,42,824,8.06225774829855
1755,2,2,2,825,1.0
1760,5,9,9,830,3.1622776601683795
1766,5,9,9,836,3.1622776601683795
1769,7,18,18,837,3.605551275463989
1770,29,82,82,830,12.041594578792296
1771,4,6,6,831,2.23606797749979
1773,7,9,9,833,3.1622776601683795
1774,2,2,2,834,1.0
1777,2,3,3,837,1.0
1778,1,1,1,838,0.0
1779,27,71,71,835,13.152946437965905
1780,41,210,88,823,13.601470508735444
1785,1,1,1,827,0.0
1791,13,27,27,833,5.0990195135927845
1793,3,3,3,835,2.0
1794,11,22,22,833,4.242640687119285
1795,22,62,62,828,11.045361017187261
1798,13,37,37,829,8.246211251235321
1800,31,181,107,820,14.422205101855956
1803,30,104,104,819,10.63014581273465
1804,2,2,2,820,1.0
1809,1,1,1,825,0.0
1810,3,5,5,826,1.4142135623730951
1814,1,1,1,830,0.0
1816,6,14,10,830,2.23606797749979
1817,2,2,2,831,1.0
1819,7,7,7,833,4.242640687119285
1823,3,3,3,834,2.0
1832,16,65,45,838,7.0
1843,1,1,1,849,0.0
1845,23,61,55,844,7.280109889280518
1849,1,1,1,848,0.0
1850,1,1,1,849,0.0
1854,7,11,11,853,4.47213595499958
1856,2,2,2,852,1.0
1857,16,28,28,852,6.082762530298219
1859,51,592,121,825,18.35755975068582
1862,18,66,42,825,9.219544457292887
1863,5,11,11,821,2.23606797749979
1870,2,2,2,828,1.0
1873,27,57,51,829,8.54400374531753
1874,33,249,106,823,12.083045973594572
1877,12,16,16,826,6.4031242374328485
1883,8,21,21,831,4.123105625617661
1885,7,12,12,828,3.1622776601683795
1886,33,125,125,826,13.416407864998739
1887,24,72,68,819,6.708203932499369
1889,15,51,51,813,10.198039027185569
1890,29,128,97,810,9.219544457292887
1892,8,17,17,807,5.0
1896,2,2,2,811,1.0
1897,17,25,25,812,6.082762530298219
1898,13,26,26,813,6.082762530298219
1900,5,6,6,815,2.23606797749979
1902,5,6,6,815,2.8284271247461903
1908,14,38,36,817,5.385164807134504
1910,1,1,1,818,0.0
1913,1,1,1,821,0.0
1918,17,37,33,825,7.280109889280518
1921,1,1,1,828,0.0
1923,62,222,220,816,22.20360331117452
1924,2,3,3,816,1.0
1927,26,114,44,818,6.4031242374328485
1929,23,99,91,817,10.770329614269007
1931,2,2,2,819,1.0
1934,19,56,56,817,11.045361017187261
1938,21,59,53,814,11.40175425099138
1942,33,115,111,812,15.652475842498529
1943,2,2,2,813,1.0
1946,8,22,22,816,3.605551275463989
1949,12,23,23,816,4.47213595499958
1951,1,1,1,818,0.0
1952,2,2,2,819,1.0
1958,6,9,9,823,3.605551275463989
1959,11,33,33,820,4.47213595499958
1962,2,3,3,823,1.0
1964,7,9,9,825,3.1622776601683795
1967,36,157,103,823,14.560219778561036
1968,1,1,1,824,0.0
1971,2,3,3,825,1.0
1973,15,35,35,823,6.324555320336759
1977,15,37,37,827,8.06225774829855
1984,12,48,48,834,8.06225774829855
1987,17,35,33,835,6.324555320336759
1989,3,3,3,837,1.4142135623730951
1993,14,35,35,835,6.4031242374328485
1996,47,219,173,828,14.317821063276353
1999,17,85,85,829,10.0
2002,38,87,81,832,9.486832980505138
2007,2,3,3,837,1.0
2008,4,5,5,838,2.23606797749979
2013,1,1,1,843,0.0
2014,60,222,222,828,17.0
2016,12,34,22,821,6.324555320336759
2017,1,1,1,822,0.0
2018,1,1,1,823,0.0
2023,1,1,1,827,0.0
2031,6,11,11,835,2.23606797749979
2032,3,4,4,836,1.4142135623730951
2035,7,9,9,839,3.0
2036,13,22,22,836,4.242640687119285
2037,12,23,23,836,6.082762530298219
2040,8,9,9,839,3.1622776601683795
2042,28,194,194,826,13.45362404707371
2051,5,8,8,835,3.1622776601683795
2054,17,37,37,836,8.602325267042627
2057,56,318,161,825,17.72004514666935
2059,17,58,54,818,8.602325267042627
2063,8,10,10,822,4.47213595499958
2064,1,1,1,823,0.0
2068,18,67,25,818,9.055385138137417
2070,30,178,140,818,13.601470508735444
2080,1,1,1,828,0.0
2082,3,7,5,829,1.4142135623730951
2090,27,131,131,835,13.92838827718412
2092,1,1,1,835,0.0
2094,2,2,2,837,1.0
2095,9,29,29,836,5.0
2101,3,3,3,839,2.0
2102,12,39,31,837,5.0
2111,5,7,7,843,2.23606797749979
2118,10,13,13,846,3.1622776601683795
2120,2,2,2,848,1.0
2125,31,139,125,850,9.486832980505138
2128,1,1,1,852,0.0
2130,7,24,22,854,4.123105625617661
2132,27,100,100,850,13.892443989449804
2140,3,3,3,858,2.0
2151,7,9,9,869,4.242640687119285
2153,12,13,13,871,6.708203932499369
2155,22,91,91,872,12.36931687685298
2156,41,161,153,845,21.2602916254693
2159,16,59,31,848,3.605551275463989
2160,64,256,134,848,14.7648230602334
2162,24,108,47,838,9.848857801796104
2164,3,3,3,840,1.4142135623730951
2169,15,53,53,841,7.615773105863909
2170,7,13,13,838,3.1622776601683795
2176,24,57,57,836,8.06225774829855
2177,8,19,19,835,5.0
2179,20,50,38,830,5.385164807134504
2180,5,6,6,831,2.23606797749979
2182,2,2,2,833,1.0
2183,3,4,4,834,2.0
2187,1,1,1,838,0.0
2189,35,146,146,819,14.866068747318506
2190,11,27,27,820,6.4031242374328485
2192,6,8,8,822,2.8284271247461903
2193,13,25,25,822,5.385164807134504
2199,4,5,5,827,2.23606797749979
2200,37,116,116,823,12.649110640673518
2203,24,40,40,826,7.280109889280518
2205,8,15,15,828,5.0
2208,42,136,136,827,17.46424919657298
2209,14,25,25,824,5.830951894845301
2212,62,169,169,826,14.560219778561036
2215,1,1,1,829,0.0
2216,5,8,8,830,2.23606797749979
2219,6,12,12,833,3.605551275463989
2221,5,5,5,832,2.0
2222,19,67,65,827,7.280109889280518
2224,33,128,128,828,14.560219778561036
2226,3,3,3,827,2.0
